         93881 function calls (93668 primitive calls) in 3.223 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      141    0.001    0.000    0.001    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/http/cookies.py:289(__init__)
       20    0.001    0.000    0.002    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/asyncio/selector_events.py:893(_call_connection_lost)
       32    0.001    0.000    0.001    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/asyncio/sslproto.py:89(get_extra_info)
      335    0.001    0.000    0.006    0.000 {method 'set_result' of '_asyncio.Future' objects}
      809    0.001    0.000    0.002    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/asyncio/base_events.py:1830(_add_callback)
      212    0.001    0.000    0.002    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/aiohttp/helpers.py:633(__enter__)
       70    0.001    0.000    0.011    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/aiohttp/client_reqrep.py:1048(start)
       53    0.001    0.000    0.002    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/aiohttp/cookiejar.py:399(_parse_date)
      192    0.001    0.000    0.006    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/aiohttp/streams.py:536(_read_nowait)
      348    0.001    0.000    0.001    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/asyncio/base_events.py:425(create_future)
      693    0.001    0.000    0.001    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/aiohttp/streams.py:300(end_http_chunk_receiving)
      354    0.001    0.000    0.011    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/aiohttp/streams.py:432(readany)
      129    0.001    0.000    0.024    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/aiohttp/connector.py:520(connect)
      138    0.001    0.000    0.008    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/asyncio/selector_events.py:1037(write)
       32    0.001    0.000    0.001    0.000 {method '_wrap_bio' of '_ssl._SSLContext' objects}
      722    0.001    0.000    0.032    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/aiohttp/compression_utils.py:114(decompress_sync)
     2238    0.001    0.000    0.001    0.000 {method 'append' of 'collections.deque' objects}
     1879    0.001    0.000    0.001    0.000 {built-in method time.monotonic}
       96    0.001    0.000    0.018    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/aiohttp/connector.py:1102(_wrap_create_connection)
       32    0.001    0.000    0.015    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/asyncio/sslproto.py:565(_on_handshake_complete)
      126    0.001    0.000    0.021    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/aiohttp/connector.py:1327(_create_direct_connection)
       35    0.001    0.000    0.004    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/aiohttp/http_writer.py:143(write_headers)
      177    0.001    0.000    0.014    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/aiohttp/streams.py:390(read)
  992/887    0.001    0.000    0.001    0.000 src/propcache/_helpers_c.pyx:27(__get__)
